Name,NumberOfReps,Date
Gesture,5,2025-06-28
Gesture,4,2025-07-05
Gesture,6,2025-07-12
Gesture,5,2025-07-19
Gesture,4,2025-07-26
Gesture,5,2025-08-02
Gesture,6,2025-08-09
Gesture,5,2025-08-14
Gesture,4,2025-08-21
Gesture,6,2025-08-28
Gesture,5,2025-09-04
Gesture,4,2025-09-11
Gesture,6,2025-09-18
Gesture,5,2025-09-25
Gesture,5,2025-10-02
Gesture,6,2025-10-09
Gesture,4,2025-10-16
Gesture,5,2025-10-23
Gesture,6,2025-10-30
Gesture,5,2025-11-06
Gesture,4,2025-11-13
Gesture,6,2025-11-20
Gesture,5,2025-11-27
Gesture,5,2025-12-04
Gesture,6,2025-12-11
Gesture,4,2025-12-18
Gesture,5,2025-12-27
Gesture,6,2026-01-03
Gesture,5,2026-01-08
Gesture,5,2026-01-13
Gesture,6,2026-01-18
Gesture,5,2026-01-22
Gesture,6,2026-01-27
Gesture,5,2026-02-03
Gesture,6,2026-02-07
Gesture,5,2026-02-12
Gesture,6,2026-02-17
Gesture,5,2026-02-22
Gesture,6,2026-02-26
Gesture,5,2026-03-03
Gesture,6,2026-03-07
Gesture,5,2026-03-12
Gesture,6,2026-03-17
Gesture,5,2026-03-22
Gesture,6,2026-03-27
Gesture,5,2026-04-01
Gesture,6,2026-04-05
Gesture,5,2026-04-09
Gesture,6,2026-04-14
Gesture,5,2026-04-18
Gesture,6,2026-04-23
Gesture,5,2026-04-28
Gesture,6,2026-05-03
Gesture,5,2026-05-07
Gesture,6,2026-05-11
Gesture,5,2026-05-15
Gesture,6,2026-05-19
Gesture,5,2026-05-22
Gesture,6,2026-05-26
Gesture,5,2026-05-29
Gesture,6,2026-06-02
Gesture,5,2026-06-05
Gesture,6,2026-06-08
Gesture,7,2026-06-10
Gesture,8,2026-06-13
