ID,Title,Series,Paint Area,Frame Size,Medium,Price (INR)
1,Forest Cascade,Still Waters,7.5 x 12.5 cm,13 x 18.5 cm,Watercolour & Ink on Paper,800
2,Coastal Ridgeline,Open Skies,7.5 x 12.5 cm,13 x 18.5 cm,Watercolour & Ink on Paper,800
3,European Robin,Into the Dark,9.5 x 14.5 cm,13 x 18.5 cm,Watercolour & Ink on Paper,1200
4,Superb Fairy-wren I,Field Notes,10 x 15 cm,15.5 x 20.5 cm,Watercolour & Ink on Paper,1200
5,Superb Fairy-wren II,Field Notes,10 x 15 cm,15.5 x 20.5 cm,Watercolour & Ink on Paper,1200
6,Summit Lines,Open Skies,11.5 x 17 cm,15.5 x 20.5 cm,Watercolour & Ink on Paper,1600
7,Blue Flycatcher,Field Notes,12.5 x 12.5 cm,23.5 x 23.5 cm,Watercolour & Ink on Paper,1400
8,Alpine Dawn,Open Skies,12.5 x 12.5 cm,23.5 x 23.5 cm,Watercolour & Ink on Paper,1400
9,Fighting Fish I,Into the Dark,12.5 x 12.5 cm,23.5 x 23.5 cm,Watercolour & Ink on Paper,1800
10,Fighting Fish II,Into the Dark,12.5 x 12.5 cm,23.5 x 23.5 cm,Watercolour & Ink on Paper,1800
11,Superb Fairy-wren III,Into the Dark,10 x 15 cm,18.2 x 23.5 cm,Watercolour & Ink on Paper,1600
12,Amber Falls,Still Waters,15 x 20 cm,23 x 28 cm,Watercolour & Ink on Paper,2200
13,Jungle Plunge,Still Waters,15 x 20 cm,23 x 28 cm,Watercolour & Ink on Paper,2200
14,Robin on a Post,Field Notes,12.5 x 12.5 cm,23.5 x 23.5 cm,Watercolour & Ink on Paper,1400
15,The Spine,Open Skies,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,2500
16,Ganesha II,Sacred,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,4000
17,The Colony,Into the Dark,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,3000
18,The Gorge,Still Waters,15 x 21 cm,24.5 x 33 cm,Watercolour & Ink on Paper,2000
19,Sacred Lotus,Into the Dark,17.5 x 26 cm,24.5 x 33 cm,Watercolour & Ink on Paper,2800
20,Betta Vortex,Into the Dark,10 x 14.8 cm,18 x 23.3 cm,Watercolour & Ink on Paper,1500
21,Macaw in Flight,Into the Dark,10 x 14.8 cm,18 x 23.3 cm,Watercolour & Ink on Paper,1500
22,Cat in the Garden,Into the Dark,10 x 14.8 cm,18 x 23.3 cm,Watercolour & Ink on Paper,1400
23,Above the Cloud Line,Open Skies,15 x 20 cm,23 x 28 cm,Watercolour & Ink on Paper,2200
25,Red-crowned Cranes,Field Notes,10 x 15 cm,18.2 x 23.4 cm,Watercolour & Ink on Paper,1200
26,Veiled Falls,Still Waters,10 x 15 cm,18.2 x 23.4 cm,Watercolour & Ink on Paper,1200
27,Spectral Owl,Field Notes,10 x 15 cm,18.2 x 23.4 cm,Watercolour & Ink on Paper,1400
28,Rock Pool,Still Waters,12 x 18 cm,18.2 x 23.4 cm,Watercolour & Ink on Paper,1600
29,Bumblebee,Into the Dark,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,2800
33,Sun Conure,Into the Dark,11.6 x 16.7 cm,15.5 x 20.7 cm,Watercolour & Ink on Paper,2200
34,Robin in the Garden,Field Notes,12.5 x 12.5 cm,23.5 x 23.5 cm,Watercolour & Ink on Paper,1400
35,Fairy-wren in the Vortex,Into the Dark,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,2800
36,Valley of the Spire,Open Skies,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,2500
37,Robin in the Rain,Into the Dark,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,3000
38,Dance in the Rain,Into the Dark,20.5 x 29 cm,24.5 x 33 cm,Watercolour & Ink on Paper,3200
39,Highland Cascade,Still Waters,12 x 16 cm,18 x 28 cm,Acrylic on Paper,1800
123,Ganesha,Sacred,10 x 14.8 cm,18 x 23.3 cm,Watercolour & Ink on Paper,2200
